nome,email,telefone
Lucas Gabriel Teixeira,isabella48@azevedo.org,0900 870 3811
Sr. Leonardo Fogaça,psantos@aragao.com,51 4781 4976
João Pedro Carvalho,fernandesvitor-gabriel@uol.com.br,0800 482 3192
Raquel da Cruz,milena97@costa.net,0500 063 7608
Lavínia da Conceição,olima@gmail.com,+55 31 6511-4066
Amanda Castro,eduardodas-neves@rezende.br,(051) 3319 2832
Alícia Costa,ana-vitoria02@fernandes.com,+55 81 1856 8179
Ana Lívia Cardoso,luiz-otavio96@da.com,+55 81 8839-4705
Davi Lucca Monteiro,eribeiro@gmail.com,+55 (051) 0812-0464
Dra. Emanuella Cunha,diego26@freitas.com,(061) 8161-1471
